[KONDISI] | [RISIKO] | [PENJELASAN] | [SOLUSI]
Tidak ada sistem manajemen K3 formal | TINGGI | Pengendalian tidak terstruktur | Terapkan sistem manajemen K3 terintegrasi.
Tidak dilakukan penilaian risiko berkala | TINGGI | Risiko berkembang tanpa kontrol | Lakukan risk assessment secara berkala.
Tidak ada indikator leading safety | SEDANG | Pencegahan tidak proaktif | Gunakan indikator proaktif seperti near miss dan unsafe act.
Hanya fokus pada lagging indicator | SEDANG | Reaktif terhadap kecelakaan | Seimbangkan dengan indikator pencegahan.
Tidak ada keterlibatan pekerja dalam K3 | SEDANG | Program tidak efektif | Libatkan pekerja dalam program keselamatan.
Tidak ada forum komunikasi K3 | SEDANG | Informasi tidak tersampaikan | Bentuk forum atau meeting rutin K3.
Tidak ada inspeksi harian | SEDANG | Bahaya kecil tidak terdeteksi | Lakukan inspeksi harian sebelum kerja.
Inspeksi dilakukan tetapi tidak terdokumentasi | SEDANG | Tidak bisa ditindaklanjuti | Dokumentasikan hasil inspeksi secara sistematis.
Tidak ada follow-up inspeksi | SEDANG | Temuan tidak selesai | Tetapkan sistem tindak lanjut inspeksi.
Tidak ada prioritas risiko | SEDANG | Semua risiko diperlakukan sama | Gunakan risk ranking untuk menentukan prioritas.
Tidak ada matriks risiko | SEDANG | Penilaian tidak sistematis | Gunakan matriks risiko (likelihood x severity).
Tidak ada pengendalian hirarki risiko | TINGGI | Kontrol tidak efektif | Terapkan hirarki kontrol (eliminasi hingga APD).
Hanya mengandalkan APD tanpa eliminasi risiko | SEDANG | Risiko tetap tinggi | Prioritaskan eliminasi dan rekayasa teknik sebelum APD.
Tidak ada evaluasi efektivitas kontrol | SEDANG | Kontrol tidak diketahui hasilnya | Lakukan evaluasi berkala terhadap kontrol yang diterapkan.
Tidak ada pelaporan berkala ke manajemen | SEDANG | Manajemen tidak aware | Buat laporan K3 rutin ke manajemen.
Tidak ada review manajemen K3 | SEDANG | Perbaikan tidak strategis | Lakukan management review secara berkala.
Tidak ada rencana peningkatan berkelanjutan | SEDANG | Sistem stagnan | Terapkan continuous improvement dalam program K3.
Pekerja menggunakan HP saat berjalan di area alat berat aktif | TINGGI | Distraksi visual dan mental meningkatkan risiko tertabrak | Larang penggunaan HP di area operasional dan tetapkan zona aman khusus.
Pekerja kelelahan dan tetap bekerja di ketinggian | TINGGI | Penurunan konsentrasi meningkatkan risiko jatuh fatal | Hentikan pekerjaan dan terapkan fit-to-work check sebelum bekerja.
Operator alat berat mengalami distraksi suara dan visual | SEDANG | Gangguan fokus dapat menyebabkan kesalahan operasional | Minimalkan gangguan dan gunakan kabin tertutup jika memungkinkan.
Pekerja baru langsung ditempatkan di area berisiko tinggi | TINGGI | Kurangnya pengalaman meningkatkan risiko kecelakaan | Wajibkan pendampingan (buddy system) dan safety induction.
Pekerja bekerja saat kondisi cuaca ekstrem tanpa penyesuaian | TINGGI | Lingkungan meningkatkan risiko kerja | Evaluasi pekerjaan dan hentikan jika kondisi tidak aman.
Pekerja bekerja di area bising tanpa komunikasi yang jelas | SEDANG | Informasi tidak tersampaikan dengan baik | Gunakan komunikasi visual atau alat komunikasi radio.
Pekerja tidak fokus karena tekanan target produksi tinggi | TINGGI | Mengabaikan prosedur keselamatan | Terapkan kebijakan safety over production.
Pengawasan dilakukan tetapi tidak konsisten | SEDANG | Disiplin kerja tidak terjaga | Standarisasi metode pengawasan dan audit rutin.
Pekerja tidak melaporkan near miss karena takut disalahkan | SEDANG | Risiko tidak terdeteksi | Terapkan budaya no-blame reporting system.
Pekerja bekerja dengan alat yang tidak familiar | SEDANG | Risiko kesalahan operasional | Lakukan pelatihan sebelum penggunaan alat.
Pekerja bekerja di area panas tanpa hidrasi cukup | SEDANG | Risiko heat stress | Sediakan air minum dan jadwal istirahat.
Pekerja bekerja sendirian di area terpencil | SEDANG | Tidak ada bantuan saat darurat | Terapkan sistem check-in/check-out dan komunikasi rutin.
Pekerja menggunakan alat improvisasi (tidak standar) | TINGGI | Risiko kegagalan alat tinggi | Gunakan alat sesuai standar dan larang improvisasi.
Pekerja tidak menggunakan APD karena merasa sudah berpengalaman | TINGGI | Overconfidence meningkatkan risiko | Lakukan safety awareness dan pengawasan ketat.
Pekerja bekerja di area licin sambil membawa alat berat | TINGGI | Risiko terpeleset dan tertimpa alat | Gunakan alat bantu angkut dan bersihkan area.
Penggunaan alat listrik di area berdebu tanpa proteksi | SEDANG | Risiko kebakaran akibat percikan | Gunakan alat anti-spark dan bersihkan area.
Pekerja bekerja di area sempit dengan ventilasi buruk | TINGGI | Risiko paparan gas berbahaya | Tambahkan ventilasi dan lakukan monitoring udara.
Pekerja tidak memahami perubahan prosedur kerja | SEDANG | Risiko kesalahan meningkat | Lakukan briefing perubahan sebelum kerja.
Tidak ada koordinasi saat pekerjaan lintas tim | TINGGI | Risiko konflik aktivitas | Lakukan koordinasi pra-kerja lintas tim.
Pekerja bekerja terlalu cepat untuk mengejar target | SEDANG | Mengabaikan keselamatan | Terapkan standar kerja aman dan monitoring.
Pekerja tidak menggunakan alat bantu saat pekerjaan berulang | SEDANG | Risiko cedera otot | Gunakan alat bantu ergonomis.
Pekerja mengalami stres kerja tinggi | SEDANG | Penurunan konsentrasi | Sediakan program kesejahteraan pekerja.
Pekerja tidak memahami simbol keselamatan | SEDANG | Risiko salah interpretasi | Berikan pelatihan simbol K3.
Tidak ada evaluasi kondisi lapangan sebelum kerja | TINGGI | Risiko tidak teridentifikasi | Lakukan pre-job hazard assessment.
Pekerja bekerja di area gelap tanpa penerangan tambahan | SEDANG | Visibilitas rendah | Tambahkan lampu portable.
Pekerja tidak menggunakan alat bantu saat bekerja di posisi sulit | SEDANG | Risiko cedera meningkat | Gunakan alat bantu ergonomis.
Pekerja tidak menjaga kebersihan area kerja | SEDANG | Risiko terpeleset | Terapkan housekeeping rutin.
Pekerja bekerja tanpa istirahat dalam waktu lama | SEDANG | Kelelahan meningkat | Terapkan jadwal istirahat wajib.
Pekerja tidak mengikuti arahan supervisor | SEDANG | Risiko kesalahan kerja | Tegakkan disiplin kerja dan komunikasi.
Pekerja tidak melaporkan kondisi tidak aman | SEDANG | Risiko tersembunyi | Dorong budaya pelaporan aktif.
Pekerja bekerja di area dengan pencahayaan berubah-ubah | SEDANG | Adaptasi visual terganggu | Stabilkan pencahayaan area kerja.
Pekerja tidak menggunakan pelindung telinga di area bising tinggi | SEDANG | Risiko gangguan pendengaran | Gunakan earplug/earmuff.
Pekerja bekerja dengan alat manual yang sudah aus | SEDANG | Risiko kegagalan alat | Ganti alat secara berkala.
Pekerja bekerja tanpa rencana kerja jelas | SEDANG | Risiko kebingungan | Buat work plan sebelum mulai.
Pekerja bekerja tanpa pengawasan di area berisiko tinggi | TINGGI | Risiko tidak terkendali | Wajibkan pengawasan langsung.
Pekerja tidak mengetahui jalur evakuasi | SEDANG | Risiko saat darurat | Sosialisasikan jalur evakuasi.
Pekerja bekerja di area rawan longsor tanpa pemantauan | TINGGI | Risiko tertimbun | Lakukan monitoring kondisi tanah.
Pekerja menggunakan alat tanpa manual kerja | SEDANG | Risiko kesalahan | Sediakan manual dan pelatihan.
Pekerja tidak menggunakan pelindung wajah saat grinding | SEDANG | Risiko cedera wajah | Gunakan face shield.
Pekerja bekerja di area dengan banyak pergerakan alat | SEDANG | Risiko tertabrak | Pisahkan jalur pekerja dan alat.
Pekerja tidak melakukan pengecekan area sebelum kerja | SEDANG | Risiko tidak terdeteksi | Lakukan area inspection.
Pekerja bekerja dalam kondisi kurang tidur | SEDANG | Penurunan konsentrasi | Terapkan kebijakan fit-to-work.
Pekerja tidak menggunakan APD karena tidak nyaman | SEDANG | Risiko meningkat | Gunakan APD ergonomis.
Pekerja tidak mengikuti prosedur darurat | SEDANG | Respon lambat | Lakukan pelatihan simulasi.
Pekerja tidak memahami risiko kombinasi pekerjaan | TINGGI | Risiko meningkat | Lakukan SIMOPS assessment.
Pekerja bekerja di area dengan potensi ledakan tanpa kontrol | TINGGI | Risiko fatal | Gunakan prosedur area eksplosif (ATEX).
Pekerja tidak menggunakan grounding saat bekerja listrik | TINGGI | Risiko sengatan | Terapkan sistem grounding.
Pekerja tidak mematikan mesin saat perbaikan | TINGGI | Risiko kecelakaan | Terapkan LOTO.
Pekerja bekerja tanpa izin kerja saat kondisi berubah | TINGGI | Risiko tidak terkontrol | Perbarui permit kerja sebelum lanjut.
Pekerja menggunakan tangga sambil membawa alat listrik di area licin | TINGGI | Kombinasi permukaan licin dan beban meningkatkan risiko jatuh dan sengatan listrik | Gunakan alat angkut terpisah, pastikan tangga stabil, dan keringkan area sebelum bekerja.
Pekerja bekerja di area lalu lintas alat berat tanpa pembatas | TINGGI | Risiko tertabrak meningkat karena tidak ada pemisahan jalur | Pasang barricade, buat jalur pejalan kaki terpisah, dan gunakan spotter.
Pekerja tidak menggunakan APD saat pekerjaan singkat (task pendek) | SEDANG | Persepsi risiko rendah menyebabkan kelalaian | Terapkan aturan “no PPE no work” tanpa pengecualian durasi pekerjaan.
Pekerja multitasking pada dua pekerjaan berisiko sekaligus | TINGGI | Fokus terbagi meningkatkan kemungkinan kesalahan fatal | Pisahkan tugas berisiko tinggi dan tetapkan satu tugas kritis per waktu.
Pekerja bekerja di area berangin saat pengangkatan beban (lifting) | TINGGI | Angin dapat mengayunkan beban dan menyebabkan kehilangan kontrol | Hentikan lifting saat angin di atas batas aman dan gunakan tag line.
Pekerja tidak melakukan pemeriksaan APD sebelum digunakan | SEDANG | APD rusak tidak terdeteksi sehingga perlindungan tidak optimal | Lakukan pre-use check APD dan sediakan APD pengganti.
Pekerja bekerja di area dengan pencahayaan silau (glare) | SEDANG | Silau mengganggu visibilitas dan persepsi jarak | Gunakan pelindung mata anti-glare dan atur arah pencahayaan.
Pekerja tidak mengetahui titik pemutus listrik darurat | TINGGI | Respon lambat saat kejadian listrik | Tandai E-stop/MCB dengan jelas dan lakukan sosialisasi lokasi.
Pekerja menggunakan bahan kimia berbeda dalam satu wadah | TINGGI | Reaksi kimia berbahaya dapat terjadi | Larang pencampuran tanpa prosedur dan gunakan wadah berlabel terpisah.
Pekerja bekerja di area dengan potensi jatuhan benda tanpa pelindung kepala | TINGGI | Risiko cedera kepala dari benda jatuh | Wajibkan helm dan pasang overhead protection (canopy) bila perlu.
Pekerja tidak melakukan housekeeping setelah pekerjaan selesai | SEDANG | Sisa material/alat menjadi sumber bahaya berikutnya | Terapkan “clean as you go” dan inspeksi area setelah kerja.
Pekerja bekerja di area dengan perubahan permukaan (naik-turun) tanpa penandaan | SEDANG | Risiko tersandung akibat perbedaan level | Tandai perubahan level dengan cat kontras dan signage.
Pekerja tidak melakukan verifikasi izin kerja saat shift berganti | TINGGI | Kondisi izin tidak valid untuk shift berikutnya | Lakukan handover permit dan revalidasi sebelum melanjutkan pekerjaan.
Pekerja menggunakan earphone di area operasional | SEDANG | Mengurangi kemampuan mendengar peringatan bahaya | Larang penggunaan earphone di area kerja dan gunakan pelindung telinga standar.
Pekerja tidak mengamankan alat setelah digunakan di ketinggian | TINGGI | Alat dapat jatuh dan mencederai pekerja di bawah | Gunakan tool lanyard dan pastikan semua alat diamankan setelah digunakan.
Makan di area konstruksi aktif | SEDANG | Area kerja berpotensi terkontaminasi debu, bahan kimia, dan partikel berbahaya | Sediakan area khusus makan yang terpisah dari area kerja dan bersih
Minum tanpa mencuci tangan di area kerja | SEDANG | Tangan terkontaminasi dapat menyebabkan gangguan kesehatan jika kontak dengan makanan/minuman | Wajibkan cuci tangan sebelum makan atau minum
Menyimpan makanan di dekat bahan kimia | TINGGI | Risiko kontaminasi bahan berbahaya ke makanan sangat tinggi | Pisahkan area penyimpanan makanan dari bahan kimia dan beri label jelas
Makan di area dengan paparan debu tinggi | SEDANG | Debu dapat masuk ke dalam makanan dan membahayakan kesehatan pernapasan | Larang makan di area berdebu dan sediakan zona makan aman
Minum di dekat aktivitas pengelasan | SEDANG | Percikan api atau asap dapat mencemari minuman | Sediakan area minum yang aman dan jauh dari sumber panas
Tidak ada area makan khusus pekerja | SEDANG | Pekerja cenderung makan di area tidak aman | Sediakan fasilitas kantin atau area makan yang aman dan bersih
Pekerja makan sambil bekerja | SEDANG | Mengurangi fokus dan meningkatkan risiko kecelakaan | Terapkan waktu istirahat khusus untuk makan
Menggunakan wadah makan yang terkontaminasi | SEDANG | Risiko kesehatan akibat kontaminasi silang | Pastikan wadah makanan bersih dan higienis
Minum air dari sumber tidak terjamin kebersihannya | TINGGI | Risiko penyakit akibat air tercemar | Sediakan air minum bersih dan layak konsumsi
Tidak tersedia fasilitas air minum | SEDANG | Pekerja berisiko dehidrasi | Sediakan air minum yang cukup di lokasi kerja
Pekerja berbagi alat makan tanpa kebersihan | RENDAH | Risiko penyebaran penyakit | Edukasi kebersihan dan gunakan alat makan pribadi
Makanan terbuka di area kerja | SEDANG | Rentan terkena debu dan kontaminasi | Gunakan penutup makanan dan simpan di tempat bersih
Tidak ada tempat sampah di area makan | RENDAH | Sampah menumpuk dan menarik hama | Sediakan tempat sampah tertutup di area makan
Pekerja makan di dekat alat berat | SEDANG | Risiko tertabrak atau terganggu aktivitas alat | Tetapkan area makan jauh dari operasional alat
Minum saat menggunakan APD tidak sesuai | RENDAH | APD dilepas sembarangan dan mengurangi perlindungan | Sediakan area khusus untuk melepas APD dengan aman saat istirahat
